circuit D
t	Ve	Vs
2.9e-008	0.968583	0.139278
2.91e-008	0.967001	0.139809
2.92e-008	0.965382	0.140336
2.93e-008	0.963724	0.14086
2.94e-008	0.962028	0.141382
2.95e-008	0.960294	0.141899
2.96e-008	0.958522	0.142414
2.97e-008	0.956712	0.142925
2.98e-008	0.954865	0.143433
2.99e-008	0.952979	0.143937
3e-008	0.951057	0.144438
3.01e-008	0.949096	0.144935
3.02e-008	0.947098	0.145429
3.03e-008	0.945063	0.14592
3.04e-008	0.942991	0.146407
3.05e-008	0.940881	0.14689
3.06e-008	0.938734	0.14737
3.07e-008	0.93655	0.147846
3.08e-008	0.934329	0.148318
3.09e-008	0.932072	0.148787
3.1e-008	0.929777	0.149252
3.11e-008	0.927446	0.149713
3.12e-008	0.925078	0.15017
3.13e-008	0.922673	0.150624
3.14e-008	0.920232	0.151073
3.15e-008	0.917755	0.151519
3.16e-008	0.915242	0.15196
3.17e-008	0.912692	0.152398
3.18e-008	0.910107	0.152832
3.19e-008	0.907485	0.153261
3.2e-008	0.904828	0.153687
3.21e-008	0.902135	0.154108
3.22e-008	0.899406	0.154526
3.23e-008	0.896642	0.154939
3.24e-008	0.893843	0.155348
3.25e-008	0.891008	0.155753
3.26e-008	0.888138	0.156153
3.27e-008	0.885233	0.156549
3.27999e-008	0.882293	0.156941
3.28999e-008	0.879318	0.157329
3.29999e-008	0.876308	0.157712
3.30999e-008	0.873264	0.158091
3.31999e-008	0.870186	0.158465
3.32999e-008	0.867073	0.158835
3.33999e-008	0.863925	0.159201
3.34999e-008	0.860744	0.159562
3.35999e-008	0.857529	0.159918
3.36999e-008	0.85428	0.16027
3.37999e-008	0.850997	0.160617
3.38999e-008	0.84768	0.16096
3.39999e-008	0.84433	0.161297
3.40999e-008	0.840947	0.161631
3.41999e-008	0.837531	0.161959
3.42999e-008	0.834081	0.162283
3.43999e-008	0.830599	0.162602
3.44999e-008	0.827083	0.162916
3.45999e-008	0.823536	0.163226
3.46999e-008	0.819955	0.16353
3.47999e-008	0.816342	0.16383
3.48999e-008	0.812697	0.164125
3.49999e-008	0.80902	0.164415
3.50999e-008	0.805311	0.1647
3.51999e-008	0.80157	0.16498
3.52999e-008	0.797798	0.165254
3.53999e-008	0.793994	0.165524
3.54999e-008	0.790159	0.165789
3.55999e-008	0.786292	0.166049
3.56999e-008	0.782395	0.166304
3.57999e-008	0.778466	0.166553
3.58999e-008	0.774507	0.166798
3.59999e-008	0.770518	0.167037
3.60999e-008	0.766497	0.167271
3.61999e-008	0.762447	0.1675
3.62999e-008	0.758367	0.167724
3.63999e-008	0.754256	0.167942
3.64999e-008	0.750116	0.168155
3.65999e-008	0.745946	0.168363
3.66999e-008	0.741747	0.168566
3.67999e-008	0.737518	0.168763
3.68999e-008	0.733261	0.168954
3.69999e-008	0.728974	0.169141
3.70999e-008	0.724659	0.169322
3.71999e-008	0.720315	0.169497
3.72999e-008	0.715942	0.169667
3.73999e-008	0.711542	0.169832
3.74999e-008	0.707113	0.169991
3.75999e-008	0.702656	0.170144
3.76999e-008	0.698172	0.170292
3.77999e-008	0.69366	0.170435
3.78999e-008	0.68912	0.170572
3.79999e-008	0.684554	0.170703
3.80999e-008	0.67996	0.170828
3.81999e-008	0.67534	0.170948
3.82999e-008	0.670693	0.171063
3.83999e-008	0.666019	0.171171
3.84998e-008	0.661319	0.171274
3.85998e-008	0.656593	0.171372
3.86998e-008	0.651841	0.171463
3.87998e-008	0.647063	0.171549
3.88998e-008	0.64226	0.171629
3.89998e-008	0.637432	0.171703
3.90998e-008	0.632578	0.171771
3.91998e-008	0.627699	0.171834
3.92998e-008	0.622796	0.171891
3.93998e-008	0.617868	0.171942
3.94998e-008	0.612915	0.171987
3.95998e-008	0.607939	0.172026
3.96998e-008	0.602938	0.172059
3.97998e-008	0.597914	0.172086
3.98998e-008	0.592866	0.172108
3.99998e-008	0.587794	0.172123
4.00998e-008	0.5827	0.172133
4.01998e-008	0.577582	0.172136
4.02998e-008	0.572442	0.172134
4.03998e-008	0.567279	0.172125
